County,Agency,Time,dist_volume,delta,pct_change
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2024-11,6361.0,6361.0,inf
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2024-12,0.0,-6361.0,-100.0
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2025-01 to 2025-02,0.0,0.0,0.0
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2025-03,4976.0,4976.0,inf
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2025-04,0.0,-4976.0,-100.0
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2025-05,4752.0,4752.0,inf
BANKS_FY2025,Alto C.H. Church Benevolent- The Grace House,2025-06,0.0,-4752.0,-100.0
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-07,0.0,0.0,0.0
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-08,562.0,562.0,inf
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-09,8186.0,7624.0,1356.584
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-10,10050.0,1864.0,22.771
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-11,8784.0,-1266.0,-12.597
BANKS_FY2025,"Banks County Family Connection, Inc.",2024-12,14821.0,6037.0,68.727
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-01,509.0,-14312.0,-96.566
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-02,1234.0,725.0,142.436
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-03,806.0,-428.0,-34.684
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-04,983.0,177.0,21.96
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-05,557.0,-426.0,-43.337
BANKS_FY2025,"Banks County Family Connection, Inc.",2025-06,0.0,-557.0,-100.0
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-07,0.0,0.0,0.0
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-08,3262.0,3262.0,inf
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-09,699.0,-2563.0,-78.571
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-10,0.0,-699.0,-100.0
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-11,1345.0,1345.0,inf
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2024-12,988.0,-357.0,-26.543
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-01,1280.0,292.0,29.555
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-02,932.0,-348.0,-27.187
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-03,1732.0,800.0,85.837
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-04,1367.0,-365.0,-21.074
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-05,1049.0,-318.0,-23.263
BANKS_FY2025,DECAL Grant Banks Elementary School  ,2025-06,0.0,-1049.0,-100.0
BANKS_FY2025,DECAL Grant Banks Head Start,2024-07,0.0,0.0,0.0
BANKS_FY2025,DECAL Grant Banks Head Start,2024-08,410.0,410.0,inf
BANKS_FY2025,DECAL Grant Banks Head Start,2024-09,1398.0,988.0,240.976
BANKS_FY2025,DECAL Grant Banks Head Start,2024-10,658.0,-740.0,-52.933
BANKS_FY2025,DECAL Grant Banks Head Start,2024-11,1380.0,722.0,109.726
BANKS_FY2025,DECAL Grant Banks Head Start,2024-12,988.0,-392.0,-28.406
BANKS_FY2025,DECAL Grant Banks Head Start,2025-01,1318.0,330.0,33.401
BANKS_FY2025,DECAL Grant Banks Head Start,2025-02,1538.0,220.0,16.692
BANKS_FY2025,DECAL Grant Banks Head Start,2025-03,1705.0,167.0,10.858
BANKS_FY2025,DECAL Grant Banks Head Start,2025-04,1219.0,-486.0,-28.504
BANKS_FY2025,DECAL Grant Banks Head Start,2025-05,1523.0,304.0,24.938
BANKS_FY2025,DECAL Grant Banks Head Start,2025-06,0.0,-1523.0,-100.0
BANKS_FY2025,DECAL Grant Banks High School,2024-07,0.0,0.0,0.0
BANKS_FY2025,DECAL Grant Banks High School,2024-08,3262.0,3262.0,inf
BANKS_FY2025,DECAL Grant Banks High School,2024-09,887.0,-2375.0,-72.808
BANKS_FY2025,DECAL Grant Banks High School,2024-10,0.0,-887.0,-100.0
BANKS_FY2025,DECAL Grant Banks High School,2024-11,1303.0,1303.0,inf
BANKS_FY2025,DECAL Grant Banks High School,2024-12,892.0,-411.0,-31.543
BANKS_FY2025,DECAL Grant Banks High School,2025-01,1280.0,388.0,43.498
BANKS_FY2025,DECAL Grant Banks High School,2025-02,1389.0,109.0,8.516
BANKS_FY2025,DECAL Grant Banks High School,2025-03,1732.0,343.0,24.694
BANKS_FY2025,DECAL Grant Banks High School,2025-04,1357.0,-375.0,-21.651
BANKS_FY2025,DECAL Grant Banks High School,2025-05,2918.0,1561.0,115.033
BANKS_FY2025,DECAL Grant Banks High School,2025-06,0.0,-2918.0,-100.0
BANKS_FY2025,DECAL Grant Banks Primary School,2024-07,0.0,0.0,0.0
BANKS_FY2025,DECAL Grant Banks Primary School,2024-08,3262.0,3262.0,inf
BANKS_FY2025,DECAL Grant Banks Primary School,2024-09,887.0,-2375.0,-72.808
BANKS_FY2025,DECAL Grant Banks Primary School,2024-10,0.0,-887.0,-100.0
BANKS_FY2025,DECAL Grant Banks Primary School,2024-11,1303.0,1303.0,inf
BANKS_FY2025,DECAL Grant Banks Primary School,2024-12,1015.0,-288.0,-22.103
BANKS_FY2025,DECAL Grant Banks Primary School,2025-01,1280.0,265.0,26.108
BANKS_FY2025,DECAL Grant Banks Primary School,2025-02,1538.0,258.0,20.156
BANKS_FY2025,DECAL Grant Banks Primary School,2025-03,1722.0,184.0,11.964
BANKS_FY2025,DECAL Grant Banks Primary School,2025-04,1568.0,-154.0,-8.943
BANKS_FY2025,DECAL Grant Banks Primary School,2025-05,2090.0,522.0,33.291
BANKS_FY2025,DECAL Grant Banks Primary School,2025-06,0.0,-2090.0,-100.0
BANKS_FY2025,Damascus Baptist Church,2024-07,1416.0,0.0,0.0
BANKS_FY2025,Damascus Baptist Church,2024-08,1666.0,250.0,17.655
BANKS_FY2025,Damascus Baptist Church,2024-09,1531.0,-135.0,-8.103
BANKS_FY2025,Damascus Baptist Church,2024-10,2652.0,1121.0,73.22
BANKS_FY2025,Damascus Baptist Church,2024-11,1933.0,-719.0,-27.112
BANKS_FY2025,Damascus Baptist Church,2024-12,2690.0,757.0,39.162
BANKS_FY2025,Damascus Baptist Church,2025-01,0.0,-2690.0,-100.0
BANKS_FY2025,Damascus Baptist Church,2025-02,540.0,540.0,inf
BANKS_FY2025,Damascus Baptist Church,2025-03,2034.0,1494.0,276.667
BANKS_FY2025,Damascus Baptist Church,2025-04,1462.0,-572.0,-28.122
BANKS_FY2025,Damascus Baptist Church,2025-05,923.0,-539.0,-36.867
BANKS_FY2025,Damascus Baptist Church,2025-06,1620.0,697.0,75.515
BANKS_FY2025,Food 2 Kids Banks County,2024-07,24772.0,0.0,0.0
BANKS_FY2025,Food 2 Kids Banks County,2024-08,26179.0,1407.0,5.68
BANKS_FY2025,Food 2 Kids Banks County,2024-09,0.0,-26179.0,-100.0
BANKS_FY2025,Food 2 Kids Banks County,2024-10 to 2025-04,0.0,0.0,0.0
BANKS_FY2025,Food 2 Kids Banks County,2025-05,10043.0,10043.0,inf
BANKS_FY2025,Food 2 Kids Banks County,2025-06,35172.0,25129.0,250.214
BANKS_FY2025,"Get Real Ministries, Inc.",2024-07,8318.0,0.0,0.0
BANKS_FY2025,"Get Real Ministries, Inc.",2024-08,8012.0,-306.0,-3.679
BANKS_FY2025,"Get Real Ministries, Inc.",2024-09,6981.0,-1031.0,-12.868
BANKS_FY2025,"Get Real Ministries, Inc.",2024-10,4133.0,-2848.0,-40.796
BANKS_FY2025,"Get Real Ministries, Inc.",2024-11,7065.0,2932.0,70.941
BANKS_FY2025,"Get Real Ministries, Inc.",2024-12,6012.0,-1053.0,-14.904
BANKS_FY2025,"Get Real Ministries, Inc.",2025-01,3386.0,-2626.0,-43.679
BANKS_FY2025,"Get Real Ministries, Inc.",2025-02,6340.0,2954.0,87.242
BANKS_FY2025,"Get Real Ministries, Inc.",2025-03,10807.0,4467.0,70.457
BANKS_FY2025,"Get Real Ministries, Inc.",2025-04,7604.0,-3203.0,-29.638
BANKS_FY2025,"Get Real Ministries, Inc.",2025-05,6246.0,-1358.0,-17.859
BANKS_FY2025,"Get Real Ministries, Inc.",2025-06,8025.0,1779.0,28.482
BANKS_FY2025,Gillsville Baptist Church INC,2024-07,10779.0,0.0,0.0
BANKS_FY2025,Gillsville Baptist Church INC,2024-08,0.0,-10779.0,-100.0
BANKS_FY2025,Gillsville Baptist Church INC,2024-09,2074.0,2074.0,inf
BANKS_FY2025,Gillsville Baptist Church INC,2024-10,5183.0,3109.0,149.904
BANKS_FY2025,Gillsville Baptist Church INC,2024-11,5377.0,194.0,3.743
BANKS_FY2025,Gillsville Baptist Church INC,2024-12,6591.0,1214.0,22.578
BANKS_FY2025,Gillsville Baptist Church INC,2025-01,0.0,-6591.0,-100.0
BANKS_FY2025,Gillsville Baptist Church INC,2025-02,0.0,0.0,0.0
BANKS_FY2025,Gillsville Baptist Church INC,2025-03,2414.0,2414.0,inf
